program_name,description,deadline,funding_low,funding_high,eligibility,interests,application_link,url,source,scraped_at
Grant to Empower Practitioners and Strengthen Their Work in Ontario (Canada),"View Full Grant Details This grant opportunity supports Buddhist-study, practice, and educational projects on a global scale. It is available to individuals, practitioners, scholars, translators, universities, monastic institutions, and grassroots organizations worldwide, provided the work is connected to Buddhist teachings or values. Applicants might use the funding for things like academic programs, translation work, retreats or practice deepenings, teacher training, or educational initiatives for children. Projects that preserve texts, support monastic training, or build capacity in Buddhist studies are also encouraged. There are several funding streams. One stream offers awards in the range of $500 to $5,000 for individual practitioners planning retreats or practice programs. Another supports mental health and resilience-oriented work, generally offering amounts from $1,000 to $5,000. A third supports formal Buddhist studies and scholarships at universities or institutes; these awards typically fall between $500 and $5,000, though higher amounts may be considered depending on the proposal. There is also support for institutions and academic development, with grants varying in size depending on institutional need and project scope. Eligibility is open to all Buddhist traditions and all regions. Both individuals and nonprofit or academic organizations may apply. Proposals are reviewed by international committees. Priority is given to projects that show clarity of purpose, measurable outcomes, feasibility, and strong connection to Buddhist study or practice. Some restrictions apply: projects that are simply construction or film projects are often excluded, and requests must clearly define scope and budget. The intent of the funds is to promote long-term preservation and propagation of Buddhist wisdom, support accessible education and practice, and help ensure quality across scholarship, translations, and retreats. Awardees are expected to use the funds for purposes directly tied to the proposed work, deliver outcomes that can be reported on, and contribute to greater access or depth of Buddhist teachings in their communities. View Full Grant Details",Ongoing,$500,"$5,000","Arts, Culture, History & Humanities; Community Development & Services; Faith Based; Non-Profit Support Services; Teachers; Individuals; Non-Profit Organizations with Fiscal Sponsor","Arts, Culture, History & Humanities; Community Development & Services; Faith Based; Non-Profit Support Services; Teachers; Individuals; Non-Profit Organizations with Fiscal Sponsor",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/75258/grant-to-empower-practitioners-and-strengthen-their-work?page=1,The Grant Portal,2025-10-04T17:42:17.635090
Grant to Improve the Quality of Life for Older Adults in Ontario in Ontario (Canada),"View Full Grant Details This grant opportunity supports senior care and healthy aging initiatives in Peterborough City, Peterborough County, Hiawatha First Nation, and Curve Lake First Nation in Ontario. The funding is open to not-for-profit and charitable groups, including medical organizations, that run or propose to run programming or services for older adults or those concerned with healthy aging. Applicants must hold charitable registration, operate within the specified geographic area, and serve seniors broadly. Each grant provides up to $5,000 and there are two grants available in the current cycle. Projects must be completed within one year of approval, unless an extension is granted. Funding may be used for new programs or to support existing ones. Eligible uses include research, equipment purchases, nutrition programs, physical activity, or mental health services. Project proposals must include a clear budget and timeline. Priority is given to projects that are inclusive of as many seniors as possible, address emerging or unmet needs in the local senior population, and demonstrate a lasting impact on quality of life. Community impact, equity, feasibility, and sustainability are key considerations in review. The intent of this funding is to help organizations build capacity, improve accessibility to senior services, enhance wellness and independence among older adults, and respond to gaps in care in the region. The grants aim to empower community partners to deliver practical interventions that support healthy aging. This is an annual funding opportunity, with deadlines announced in advance. Eligible organizations in the designated region are encouraged to apply, with applications evaluated on clarity of purpose, capacity to deliver, and alignment with community health priorities. View Full Grant Details",Ongoing,"$5,000","$5,000",Aging/Seniors; Community Development & Services; Health & Medical; Non-Profit Support Services; Quality of Life; Non-Profit Organizations with 501(c)(3) designation,Aging/Seniors; Community Development & Services; Health & Medical; Non-Profit Support Services; Quality of Life; Non-Profit Organizations with 501(c)(3) designation,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/75248/grant-to-improve-the-quality-of-life-for-older-adults-in-ontario?page=1,The Grant Portal,2025-10-04T17:42:22.597466
Multi-Year Grants for Community Development Initiatives in Ontario (Canada),"View Full Grant Details This grant opportunity is intended to support organizations seeking to enhance and expand their existing programs and services within their communities. It is generally aimed at nonprofit groups with a history of community involvement and impact. While individuals and businesses are not typically the primary focus, established organizations with the ability to manage and deliver projects effectively are encouraged to apply. Available to a range of regions within Ontario, this funding is designed to promote initiatives that contribute to community well-being in various areas, such as cultural activities, recreation, environmental efforts, and social support services. The grant provides funding over multiple years, with annual amounts typically ranging from moderate to substantial levels, allowing recipients to undertake longer-term projects. Total funding over the grant period can be significant enough to support meaningful growth and development. This opportunity offers organizations a chance to build capacity, improve services, and better meet the evolving needs of the people they serve. Eligible applicants are those with demonstrated experience and a commitment to making a positive difference in their communities. Through this support, local initiatives are better positioned to sustain and expand their impact over time. View Full Grant Details",Ongoing,"$50,000","$200,000","Arts, Culture, History & Humanities; Community Development & Services; Environment; Non-Profit Support Services; Sports & Recreation; Non-Profit Organizations with 501(c)(3) designation; Non-Profit Organizations with Fiscal Sponsor; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education","Arts, Culture, History & Humanities; Community Development & Services; Environment; Non-Profit Support Services; Sports & Recreation; Non-Profit Organizations with 501(c)(3) designation; Non-Profit Organizations with Fiscal Sponsor; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/75090/multi-year-grants-for-community-development-initiatives?page=1,The Grant Portal,2025-10-04T17:42:26.958878
Multi-Year Support for Professional Growth in Research in Ontario (Canada),"View Full Grant Details Early-career researchers focused on neurological conditions may be eligible for a significant funding opportunity designed to support their transition into independent academic roles. This grant program offers long-term financial support over a three-year period, with total funding available up to $300,000. The funds may be used to support a portion of the recipient’s salary, research-related expenses, and institutional costs, with a focus on career development and scientific advancement. While the funding is generous, it comes with specific benchmarks to ensure continued progress, including the expectation of submitting a larger, nationally competitive research proposal during the award period. This opportunity is intended for individuals who are at an early stage of their professional academic journey, typically within tenure-track faculty positions. Applicants should hold an advanced degree such as an MD or PhD and be based in either the United States or Canada. The grant prioritizes those who have not yet received major independent funding, making it especially beneficial for new investigators aiming to establish their own research programs. Though competitive, this grant is designed to open doors for researchers from a variety of institutions, and special consideration may be given to those from historically underrepresented backgrounds. The application process is conducted in phases, beginning with an initial letter of interest followed by a full proposal submission upon invitation. While not available every year, this opportunity is offered on a recurring basis and provides meaningful support to emerging leaders in the biomedical research community. It reflects a commitment to innovation, academic growth, and the long-term advancement of knowledge in the field. Nonprofit academic institutions are the primary beneficiaries, with funding directed toward supporting individuals working within these settings across North America. This opportunity does not extend to for-profit businesses or general nonprofits outside of academic or clinical research environments. View Full Grant Details",Ongoing,"$300,000","$300,000","Awards; Health & Medical; Individual; Research & Evaluation; Science, Technology Research & Development; Individuals","Awards; Health & Medical; Individual; Research & Evaluation; Science, Technology Research & Development; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/75013/multi-year-support-for-professional-growth-in-research?page=1,The Grant Portal,2025-10-04T17:42:32.299071
Funding for Projects Led by Biomedical Researchers in Ontario (Canada),"View Full Grant Details This funding opportunity offers meaningful, unrestricted cash awards to promising early-career researchers who began their careers abroad and are now building their professional lives in the United States. The awards are available to individuals who hold a doctoral degree and are employed full-time in independent academic or research roles—not positions like postdoctoral fellowships. Eligible disciplines span across a wide array of biomedical science fields—including areas like cancer research, immunology, neuroscience, biophysics, epidemiology, metabolism, microbiology, bioengineering, and others. Applicants must have been born outside the U.S. to non‑American parents and generally must not exceed an age limit around the late 30s. Exceptions may be made for those who experienced significant career interruptions—such as for caregiving or medical reasons—within a specified recent range. Candidates must also have lived in the U.S. for a minimum of several years and hold a valid immigration status (such as permanent residency, certain work visas, or DACA/asylum authorizations). Importantly, applicants must have served as corresponding author on at least one publication and should be the lead creator of the research submitted for consideration. Award recipients receive a single lump sum of approximately $50,000, with no restrictions on how they use the funds—it’s theirs to invest in their work or personal goals as they choose. Winners also benefit from visibility and recognition, with promotional exposure that highlights both their scientific contributions and their immigrant journeys. The competition is rigorous, with applications evaluated by expert panels who assess scientific creativity, independence, and the broader implications of the applicants’ work. Overall, this opportunity is designed to support and celebrate emerging immigrant scientists in the biomedical field—helping them enhance their careers and amplify their impact through flexible, meaningful financial support. View Full Grant Details",Ongoing,"$50,000","$50,000","Awards; Financial Assistance; Health & Medical; Higher Education; Research & Evaluation; Science, Technology Research & Development; Students; Individuals; Private institutions of higher education; Public and State controlled institutions of higher education","Awards; Financial Assistance; Health & Medical; Higher Education; Research & Evaluation; Science, Technology Research & Development; Students; Individuals; Private institutions of higher education; Public and State controlled institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74977/funding-for-projects-led-by-biomedical-researchers?page=1,The Grant Portal,2025-10-04T17:42:37.540888
Creative Research and Arts Fellowship for Mid-Career Innovators in Ontario (Canada),"View Full Grant Details There are multiple funding programs available through the university’s research & graduate studies unit, supporting researchers, graduate students, and sometimes faculty. These grants are offered by internal funds and external agencies. They aim to support research infrastructure (especially smaller-scale), project-based research in various disciplines (engineering, health sciences, humanities, social sciences), and innovation. Some programs are targeted at creating connections between researchers, building capacity, and enabling competitive research output. Graduate students are eligible for scholarships, fellowships, and external awards. These may cover research costs, travel, living expenses, tuition or fees depending on the grant. Non-graduate researchers (faculty or staff) may also receive funding for infrastructure, collaborations, or developing new research themes. One internal program provides relatively modest awards for undergraduate students for creative or scholarly work; these cover project‐related expenses (excluding travel, salaries, or membership fees). Another internal program enables student-faculty collaborative research, both for undergraduate and graduate levels; this typically includes a stipend plus funds for supplies and sometimes travel. There are external programs listed which include funding from provincial sources, national research councils, and innovation partners. These tend to be larger in scale, intended to support infrastructure, strategic research priorities, and projects that cross disciplines or address broader societal challenges. Across the programs, award sizes vary. For small undergraduate project grants, amounts are up to several hundred dollars. For graduate-level and external awards, amounts are substantially higher (thousands of dollars), depending on scope. Eligibility generally includes being enrolled as a student (undergraduate or graduate), maintaining academic standing, having a faculty mentor, sometimes being a resident of a particular region or meeting specific demographic criteria (e.g. underrepresented group, financial need). The intent of these funds is to enable academic research, creative activity, capacity building, training, and dissemination of results rather than general operations. Deadlines for proposals are multiple, depending on the program. View Full Grant Details",Ongoing,"$5,000","$100,000","Arts, Culture, History & Humanities; College Scholarship; Individual; Individuals","Arts, Culture, History & Humanities; College Scholarship; Individual; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74938/creative-research-and-arts-fellowship-for-mid-career-innovators?page=1,The Grant Portal,2025-10-04T17:42:43.720004
An Annual Grant for Small Business Growth in Ontario (Canada),"View Full Grant Details This is a grant opportunity is aimed at supporting individuals who are working to grow their businesses, with a particular focus on those balancing professional and personal responsibilities. It is available to business owners located primarily within certain regions of North America. The program seeks to provide resources that help recipients move their ventures forward, whether that means expanding operations, improving services, or developing new offerings. The funding is intended to be flexible, allowing recipients to use it in ways that best suit their unique business needs. This could include investing in growth strategies, enhancing marketing efforts, or obtaining expert assistance to overcome challenges. The goal is to help entrepreneurs achieve greater success and sustainability. Eligibility is generally geared toward small business owners or individual entrepreneurs who have demonstrated some level of business activity and revenue but are looking to scale. Nonprofit organizations are typically not the focus of this grant. The opportunity is designed to reach those who are in the process of building or expanding their enterprises. Grant amounts vary, with the primary award offering a substantial financial boost along with additional support services. Several other awards of smaller amounts may also be available to recognize promising applicants. The grant is offered on an annual basis, with a designated application window each year. Overall, this grant is intended to provide meaningful assistance to business owners striving to grow while managing the complexities of their personal lives. It encourages applications from those seeking both financial resources and guidance to help take their ventures to the next level. View Full Grant Details",Ongoing,"$1,000","$10,000",Business & Commerce; Community Development & Services; Women; Small Businesses,Business & Commerce; Community Development & Services; Women; Small Businesses,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74896/an-annual-grant-for-small-business-growth?page=1,The Grant Portal,2025-10-04T17:42:49.322173
Grant for Projects Advancing Child Survival Solutions in Ontario (Canada),"View Full Grant Details This global challenge invites anyone—individuals, nonprofits, for-profits, academic institutions, or government entities—to craft proposals that genuinely work toward saving the lives of children under age five. While applications may come from around the world, the prize funds must be used strictly for charitable purposes aligned with the contest’s goals. Past offerings have included a significant award—such as $150,000—for a compelling project focused on infrastructure or interventions that directly address child mortality. The emphasis is on real-world impact and measurable outcomes, with submissions best designed as ready-to-execute plans grounded in evidence and scalability. The process unfolds in three stages. The first stage starts with an accessible entry form to introduce your idea. If selected, you'll be invited to submit an in-depth proposal with detailed materials, such as budgets, evidence of impact, and media. Finalists then participate in a Q&A round with the judging panel, after which a winner is chosen. Applicants should highlight how their plan will save lives among young children—preferably by making them reach age five who otherwise wouldn’t have. Demonstrating strong evidence, scalability, cost-effectiveness, feasibility, and ease of verifying results is essential. You may even use proxies for mortality (like morbidity), but only if you clearly justify how they relate to actual survival in your target community. In essence, this opportunity empowers scientifically grounded, high-impact interventions designed to curb child mortality. It supports bold, well-documented plans that are poised to save lives—and encourages sharing those stories to inspire broader support and action. View Full Grant Details",Ongoing,"$150,000","$250,000",Business & Commerce; Children & Childcare; Community/Economic Development; Health & Medical; Higher Education; Individual; International; Municipalities; Non-Profit Support Services; Quality of Life; Small Business; Federal Government; For profit corporations other than small businesses; Individuals; Local Government; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Private institutions of higher education; Public and State controlled institutions of higher education; Small Businesses; Specialized District Governments; State Governments,Business & Commerce; Children & Childcare; Community/Economic Development; Health & Medical; Higher Education; Individual; International; Municipalities; Non-Profit Support Services; Quality of Life; Small Business; Federal Government; For profit corporations other than small businesses; Individuals; Local Government; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Private institutions of higher education; Public and State controlled institutions of higher education; Small Businesses; Specialized District Governments; State Governments,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74833/grant-for-projects-advancing-child-survival-solutions?page=1,The Grant Portal,2025-10-04T17:42:54.509678
Global Filmmaker Grant Award for Transformative Storytelling in Ontario (Canada),"View Full Grant Details This creative grant opportunity supports short film projects—five minutes or less—that center on mental health themes. Designed to help bring personal, genuine stories to life, it provides production funding to small filmmaking teams. The aim is to encourage projects that explore emotional depth, healing, connection, and resilience through any storytelling lens—including drama, comedy, animation, documentary, experimental, or even sci-fi and westerns. The opportunity is open to filmmakers from anywhere in the world. It supports small collaborative teams, not individuals working solo, and is tailored to creators who are passionate about mental health storytelling. It’s not available for non-film initiatives, and business-oriented or individual non-creative applications do not match the focus. Winners receive a lump-sum grant designed to help with the costs of production—such as equipment, editing, or crew expenses—so the story can be told effectively and with quality. Alongside funding, the opportunity includes indirect support: informational sessions and workshops help guide the proposal process, and applicants may benefit from limited one-on-one feedback to shape their ideas and budgets. This grant is offered on an annual cycle, with application windows opening each year, followed by a submission deadline. A panel of judges reviews the proposals, generally selecting several recipients who are then invited to complete and share their films, often with support for broader visibility through educational or community networks. Ultimately, this grant empowers small filmmaking teams to create heartfelt, meaningful content that resonates with audiences, invites dialogue on mental health, and fosters empathy—while elevating voices and perspectives that often go unheard. View Full Grant Details",Ongoing,"$7,500","$7,500","Arts, Culture, History & Humanities; Health & Medical; Individual; Mental Health; Other; Youth/Out-of-School Youth; Individuals","Arts, Culture, History & Humanities; Health & Medical; Individual; Mental Health; Other; Youth/Out-of-School Youth; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74832/global-filmmaker-grant-award-for-transformative-storytelling?page=1,The Grant Portal,2025-10-04T17:43:02.001113
Grant for Innovative Data Collection in Global Research Projects in Ontario (Canada),"View Full Grant Details This research grant is tailored to support graduate-level researchers—especially those pursuing terminal degrees like PhDs—who are conducting projects with substantial primary data collection needs. The opportunity comes with two key benefits. First, recipients receive a one-time cash award of up to $3,000 USD to help cover the costs of fieldwork and related research expenses. Second, awardees also gain a complimentary one-year subscription to a powerful data collection platform—complete with unlimited storage, forms, users, and devices, up to 10,000 form submissions per month—alongside 24/7 expert support for setup and troubleshooting. Eligible applicants include those currently enrolled in or pursuing a terminal academic degree with a strong emphasis on data collection. Projects that aim to benefit underserved communities or regions are particularly encouraged. Applications open on August 1 and close on September 30 annually, with notifications and award announcements typically following later in the year. Reviewers evaluate submissions based on the anticipated impact of the research (cultural, social, environmental, economic, or policy relevance), the innovativeness of methods, and the overall feasibility of successfully completing the project. Recipients also benefit from increased visibility, as they are often invited to share their work through articles, webinars, podcasts, or other outreach formats in collaboration with the grant provider. In essence, this opportunity offers a blend of financial aid and practical support—designed to lower logistical and technical barriers for emerging researchers doing hands-on, impactful data collection. It’s especially suited for those seeking to amplify their work while gaining access to robust tools and expert assistance. View Full Grant Details",Ongoing,"$3,000","$30,000","Education; Higher Education; Individual; Research & Evaluation; Science, Technology Research & Development; Students; Technology; Individuals; Non-Profit Organizations with 501(c)(3) designation; Private institutions of higher education; Public and State controlled institutions of higher education","Education; Higher Education; Individual; Research & Evaluation; Science, Technology Research & Development; Students; Technology; Individuals; Non-Profit Organizations with 501(c)(3) designation; Private institutions of higher education; Public and State controlled institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74828/grant-for-innovative-data-collection-in-global-research-projects?page=1,The Grant Portal,2025-10-04T17:43:06.441599
